_id,attendanceDate,checkInTime,checkOutTime,createdAt,employeeId,notes,status,updatedAt
69c9406089315d51bac071d6,2026-03-29 00:00:00,2026-03-29 15:08:16.579000,2026-03-29 15:08:23.490000,2026-03-29 15:08:16.579000,69c934435b6a4f39f72318f0,,Late,2026-03-29 15:08:23.491000
69c9511c10055fa5e7fb83c4,2026-03-29 00:00:00,2026-03-29 16:19:40.252000,2026-03-29 16:19:52.245000,2026-03-29 16:19:40.252000,69c9480089315d51bac071d8,,Late,2026-03-29 16:19:52.245000
69c951ec10055fa5e7fb83c7,2026-03-29 00:00:00,2026-03-29 16:23:08.400000,2026-03-29 16:23:11.906000,2026-03-29 16:23:08.400000,69c92d8d276895ddbb195917,,Late,2026-03-29 16:23:11.906000
69c9b135f85936598a3de5f1,2026-03-29 00:00:00,2026-03-29 23:09:41.586000,2026-03-29 23:13:38.901000,2026-03-29 23:09:41.586000,69c933c85b6a4f39f72318e4,,Late,2026-03-29 23:13:38.975000
69c9d992722973a020400828,2026-03-30 00:00:00,2026-03-30 02:01:54.751000,,2026-03-30 02:01:54.751000,69c92d8d276895ddbb195917,,Present,
69c9daad722973a02040082b,2026-03-30 00:00:00,2026-03-30 02:06:37.278000,2026-03-30 02:10:13.053000,2026-03-30 02:06:37.278000,69c9480089315d51bac071d8,,Present,2026-03-30 02:10:13.053000
69c9ddb0722973a020400830,2026-03-30 00:00:00,2026-03-30 02:19:28.920000,2026-03-30 15:13:22.204000,2026-03-30 02:19:28.920000,69c933c85b6a4f39f72318e4,,Present,2026-03-30 15:13:22.205000
69cab5f21e3d51123f8c1eef,2026-03-30 00:00:00,2026-03-30 17:42:10.320000,2026-03-30 17:43:16.320000,2026-03-30 17:42:10.320000,69c996854f15ddb1a957ecd5,,Late,2026-03-30 17:43:16.321000
69cb2ed0233146f06c318416,2026-03-31 00:00:00,2026-03-31 02:17:52.166000,,2026-03-31 02:17:52.166000,69c993e94f15ddb1a957eccc,,Present,
69cb2f98233146f06c318419,2026-03-31 00:00:00,2026-03-31 02:21:12.868000,,2026-03-31 02:21:12.868000,69c996854f15ddb1a957ecd5,,Present,
